"","Depth","Day","Mesocosm","total_L","Class","Compound"
"3950",2,18,8,83.4933192603565,"DGDG","DGDG-34:4"
"3951",2,18,8,7.94902382602814,"DGDG","DGDG-36:0"
"3952",2,18,8,2.74141492517615,"DGDG","DGDG-34:2"
"3953",2,18,8,7.16280579659446,"DGDG","DGDG-32:5"
"3954",2,18,8,63.3572279340423,"MGDG","MGDG-34:0"
"3955",2,18,8,0.89467280942487,"MGDG","MGDG-34:7"
"3956",2,18,8,11.0054146105027,"MGDG","MGDG-36:8"
"3957",2,18,8,29.3783986918144,"MGDG","MGDG-36:5"
"3958",2,18,8,14.2595982178884,"MGDG","MGDG-36:10"
"3959",2,18,8,18.1312483381714,"MGDG","MGDG-34:1"
"3960",2,18,8,58.5009649279322,"MGDG","MGDG-30:2"
"3961",2,18,8,43.4475496694333,"MGDG","MGDG-32:1"
"3962",2,18,8,13.9722170144616,"MGDG","MGDG-32:2"
"3963",2,18,8,153.869234327956,"MGDG","MGDG-28:0"
"3964",2,18,8,18.2453293071739,"MGDG","MGDG-36:2"
"3965",2,18,8,117.322319590238,"MGDG","MGDG-30:0"
"3966",2,18,8,21.462430063291,"MGDG","MGDG-36:9"
"3967",2,18,8,33.3757644712158,"MGDG","MGDG-28:1"
"3968",2,18,8,197.135051880802,"MGDG","MGDG-32:0"
"3969",2,18,8,21.4025135879746,"MGDG","MGDG-30:3"
"3970",2,18,8,5.63295482868465,"MGDG","MGDG-36:4"
"3971",2,18,8,467.603403048022,"MGDG","MGDG-30:1"
"3972",2,18,8,8.6165992091598,"MGDG","MGDG-34:5"
"3973",2,18,8,1.53477726709012,"Other","Gly-Cer-36:1"
"3974",2,18,8,0.911007870999211,"Other","PI-DAG-38:5"
"3975",2,18,8,0.687833573784578,"Other","PI-DAG-38:6"
"3976",2,18,8,25.9849454013062,"PC","PC-32:1"
"3977",2,18,8,109.442729159204,"PC","PC-30:0"
"3978",2,18,8,14.7912146112147,"PC","PC-30:1"
"3979",2,18,8,8.81674097672604,"PC","PC-38:6"
"3980",2,18,8,0.488980485302628,"PC","PC-44:12"
"3981",2,18,8,62.0719058824033,"PC","PC-32:0"
"3982",2,18,8,0.445887347837037,"PC","PC-26:0"
"3983",2,18,8,3.76028683393713,"PC","PC-32:2"
"3984",2,18,8,0.644231608061728,"PC","PC-34:4"
"3985",2,18,8,2.74452685135216,"PC","PC-36:3"
"3986",2,18,8,0.773266507138189,"PC","PC-36:5"
"3987",2,18,8,80.3707107782996,"PC","PC-28:0"
"3988",2,18,8,2.51795476460063,"PC","PC-28:1"
